category,product,vial,client_rate,mrp,reporting_time,page
SPECIALISED TEST MENU,MAGNESIUM,RED - PLAIN,400.0,800.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,D-DIMER,SKY,400.0,800.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,IL-6 - INTERLEUKIN 6,RED - PLAIN,800.0,1650.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,"HB ELECTROPHROSIS - (Prescription, Mobile No & Blood Transfusion History required)",PURPLE - EDTA,800.0,1500.0,Next day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,"AMH (ANTI MULLERIAN HORMONE), SERUM",RED - PLAIN,700.0,2000.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,BICARBONATE,RED - PLAIN,400.0,800.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,SMALL BIOPSY,CONTAINER,800.0,1200.0,7 days,4
SPECIALISED TEST MENU,MEDIUM BIOPSY,CONTAINER,1000.0,1600.0,7 days,4
SPECIALISED TEST MENU,LARGE BIOPSY,CONTAINER,1500.0,2500.0,10 to 15 days,5
SPECIALISED TEST MENU,EXTRA LARGE BIOPSY,CONTAINER,4000.0,5500.0,10 to 15 days,5
SPECIALISED TEST MENU,RUBELLA IGG,RED - PLAIN,500.0,900.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,RUBELLA IGM,RED - PLAIN,500.0,900.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,ANTI TPO,RED - PLAIN,900.0,1500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,E2 - ESTRADIAL,RED - PLAIN,900.0,1500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,ANTI DS DNA,RED - PLAIN,900.0,1500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,Allergy Panel - With Picture,RED - PLAIN,4000.0,6000.0,10 DAYS,5
SPECIALISED TEST MENU,ACE - Angiotensin Converting Enzyme,RED - PLAIN,1200.0,1900.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,Cysticercosis Antibody IgG,RED - PLAIN,1500.0,2500.0,8 - 9 DAYS,5
SPECIALISED TEST MENU,PTH - INTACT PARATHYROID HORMONE,RED - PLAIN,900.0,1500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,Alpha Feto Protein (AFP),RED - PLAIN,900.0,1500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,AFB/TB - Mycobacterium Tuberculosis DNA PCR,SPUTUM / PUS,3000.0,3500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,AFB/TB Culture - Fluorescent method (Rapid -MGIT),SPUTUM / PUS,3000.0,3500.0,1 & 1/2 months,5
SPECIALISED TEST MENU,BOH PANEL,RED - PLAIN,10000.0,14500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,CEA (Carcino Embryonic Antigen),RED - PLAIN,900.0,1500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,COPPER,RED - PLAIN,900.0,1500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,ZINC,RED - PLAIN,800.0,1000.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,Homocysteine,RED - PLAIN,900.0,1500.0,4 - 5 DAYS,5
SPECIALISED TEST MENU,DOUBLE / DUAL MARKER,RED - PLAIN,750.0,2000.0,Same day ( 6pm to 7.30pm),5
